,Rdf,Vittorio Alfieri,Computer Science Applications,Archives,Ontologies,Computer Vision And Pattern Recognition,Giacomo Leopardi,Linked Open Data,Information Systems,Vincenzo Monti,Deep Learning,Computer Networks And Communications,Legal Design,Knowledge Graph,Critica Delle Varianti,Visualization,Alessandro Manzoni,Gdpr,Big Data,Machine Learning,Ontology Design Patterns,Frame Semantics,Artificial Intelligence,Manzoni,Dante,Semantic Web,Benedetto Varchi,Microservices,Francesco Petrarca,Cultural Heritage,Semantics,Authorial Philology,Philology,Akoma Ntoso,Semantic Publishing,Software Engineering,Linked Data,Pietro Verri,Bibliometrics,Open Citations,Natural Language Processing,Italian Philology,Carlo Emilio Gadda
Rdf,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0
Vittorio Alfieri,0,0,0,2,0,0,2,0,0,4,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,4,0,0,0,2,0
Computer Science Applications,0,0,0,0,0,14,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archives,0,2,0,0,4,0,2,4,0,2,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,2,2,0,2,0,0,4,2,0,0,0,0,2,0,0,0,2,0
Ontologies,2,0,0,4,0,0,0,10,0,0,0,2,2,6,0,0,0,0,0,0,2,0,0,0,0,34,0,0,0,10,0,0,0,2,4,2,8,0,0,0,2,0,0
Computer Vision And Pattern Recognition,0,0,14,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giacomo Leopardi,0,2,0,2,0,0,0,0,0,2,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,2,0,4,0,0,6,0,0,0,0,0,2,0,0,0,4,2
Linked Open Data,0,0,0,4,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,0,2,0,2,0,0,0,0,4,4,0,0
Information Systems,0,0,10,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Vincenzo Monti,0,4,0,2,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,4,0,0,0,2,0
Deep Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,0,0
Computer Networks And Communications,0,0,6,0,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal Design,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knowledge Graph,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,6,2,0,0,0,0,0,8,0,0,0,0,0,0
Critica Delle Varianti,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,2,0,0,0,0,2,0,0,0,6,8
Visualization,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,2,0,0
Alessandro Manzoni,0,4,0,2,0,0,6,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,10,2,0,0,0,0,4,0,0,0,4,4
Gdpr,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,2,0,18,0,0
Ontology Design Patterns,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Frame Semantics,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artificial Intelligence,0,0,2,4,0,2,0,0,0,0,0,0,2,0,0,0,0,2,8,12,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
Manzoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0
Dante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semantic Web,4,0,2,2,34,2,0,20,0,0,0,2,2,12,0,0,0,4,0,2,0,2,4,0,0,0,0,0,0,18,0,0,0,2,4,0,10,0,0,2,0,0,0
Benedetto Varchi,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,2,0,0,0,2,0
Microservices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Francesco Petrarca,0,2,0,2,0,0,4,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,2,0,0,0,4,0
Cultural Heritage,0,0,0,0,10,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0
Semantics,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Authorial Philology,0,4,0,4,0,0,6,0,0,4,0,0,0,0,20,0,10,0,0,0,0,0,0,10,0,0,6,0,6,0,0,0,8,0,0,0,0,4,0,0,0,26,8
Philology,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Akoma Ntoso,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Semantic Publishing,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
Software Engineering,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked Data,4,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,2,0,0,0,0,2,0,0,0
Pietro Verri,0,4,0,2,0,0,2,0,0,4,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0
Bibliometrics,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Open Citations,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
Natural Language Processing,0,0,0,0,2,0,0,4,0,0,4,0,0,0,0,2,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0
Italian Philology,0,2,0,2,0,0,4,0,0,2,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,2,0,4,0,0,26,0,0,0,0,0,2,0,0,0,0,2
Carlo Emilio Gadda,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0
